symbol,GSM1308942_BMGMdbdb.TMM.data.txt.gz,GSM1308941_BMGMdb.TMM.data.txt.gz,GSM1308940_BMMCdbdb.TMM.data.txt.gz,GSM1308939_BMMCdb.TMM.data.txt.gz
Cypt4,0.0,0.0,0.0,1.9
Cypt7,0.0,0.0,0.0,0.0
Cypt8,0.0,0.0,0.0,0.0
Cypt9,0.0,0.0,0.0,1.9
Cyr61,0.0,0.0,2536.5,872.2
Cys1,1.1,0.0,3.5,1.9
Cysltr1,676.7,704.4,2288.1,2043.1
Cysltr2,97.9,92.0,54.9,48.5
Cyth1,5713.6,5411.6,2459.8,2617.6
Cyth2,1088.7,1112.6,1027.3,953.1
Cyth3,2817.5,2866.8,2118.2,2002.2
Cyth4,8157.8,8591.3,10336.8,11884.7
Cytip,1086.6,1091.3,2145.2,2316.1
Cytl1,0.0,1.1,0.0,1.9
Cyyr1,1.1,0.0,0.9,2.8
D030016E14Rik,2930.5,2795.0,2086.9,1931.8
D030018L15Rik,0.0,0.0,2.6,14.3
D030024E09Rik,0.0,4.5,0.0,2.8
D030025E07Rik,0.0,0.0,0.0,1.9
D030025P21Rik,0.0,0.0,57.5,17.1
D030028A08Rik,110.8,90.9,110.6,104.6
D030040B21Rik,1.1,2.3,2.6,2.8
D030045P18Rik,0.0,0.0,0.0,4.8
D030047H15Rik,4.3,1.1,9.6,6.7
D030056L22Rik,192.6,199.6,131.6,133.2
D0H4S114,543.3,577.6,26.1,8.6
D10Bwg1379e,4066.5,4111.7,131.6,138.9
D10Jhu81e,977.9,1013.9,842.6,877.9
D10Wsu102e,1266.2,1250.6,943.7,800.9
D10Wsu52e,2663.7,2572.9,2778.7,2822.1
D11Wsu47e,280.8,233.3,304.1,336.7
D11Wsu99e,1112.4,1087.9,945.4,1051.0
D130009I18Rik,0.0,0.0,1.7,4.8
D130017N08Rik,30.1,29.2,27.0,33.3
D130020L05Rik,498.1,554.1,556.8,468.9
D130040H23Rik,28.0,31.4,47.9,46.6
D130043K22Rik,3.2,1.1,1.7,3.8
D14Abb1e,1216.7,1148.5,1646.8,1315.4
D14Ertd449e,834.8,872.6,572.5,511.7
D14Ertd668e,220.5,284.9,420.8,609.7
D15Ertd621e,6223.5,6262.9,6073.3,5469.1
D16Ertd472e,205.5,192.9,236.1,172.2
D16Ertd519e,0.0,0.0,0.9,0.0
D16H22S680E,669.2,659.5,466.2,491.7
D17Ertd648e,0.0,0.0,2.6,0.0
D17H6S53E,550.8,511.4,444.4,421.4
D17H6S56E-3,12.9,11.2,32.2,44.7
D17Wsu104e,1713.7,1677.9,838.2,969.2
D17Wsu92e,4872.3,4991.0,3624.8,4255.5
D18Ertd653e,533.6,538.4,374.7,350.0
D19Bwg1357e,1156.5,1223.6,1158.0,918.8
D19Ertd386e,1228.6,1085.7,1571.0,1582.7
D19Ertd737e,391.6,468.8,495.8,430.9
D19Wsu162e,2958.4,2920.6,2410.1,2816.4
D1Bwg0212e,754.1,761.6,819.9,781.8
D1Ertd622e,2336.6,2186.0,3376.5,3245.3
D1Pas1,15.1,15.7,26.1,20.0
D230025D16Rik,1185.5,1169.8,1125.8,1214.6
D230030E09Rik,0.0,0.0,1.7,1.9
D230037D09Rik,810.1,787.4,372.9,320.5
D2Ertd750e,256.0,238.9,258.8,241.6
D2Wsu81e,484.1,393.7,407.8,336.7
D2hgdh,443.2,437.4,429.6,484.1
D330012F22Rik,199.0,262.5,202.1,224.5
D330022K07Rik,0.0,0.0,23.5,10.5
D330023K18Rik,43.0,35.9,64.5,83.7
D330028D13Rik,24.7,35.9,27.9,24.7
D330041H03Rik,657.3,652.8,467.9,603.0
D330045A20Rik,357.2,408.3,21.8,14.3
D330050G23Rik,7.5,2.3,3.5,10.5
D330050I16Rik,100.1,132.4,101.1,120.8
